id,scrape_id,last_scraped,source,name,host_id,host_profile_id,host_name,hosts time as user,hosts time as host,host_listings_count,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,total stay days,total price,minimum_nights,maximum_nights,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
74860,2.03E+13,4/14/2026,previous scrape,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",394752,1.46E+18,Allison,"15,1","15,1",1,t,Brooklyn,40.72364,-73.95013,Entire rental unit,Entire home/apt,3,1.5,1 bath,1,1,301,20,6020,30,730,4/14/2026,3,3/28/2011,10/30/2019,4.67,5,4.67,4,4.67,4.67,4.67,0,0,0.02
18961,2.03E+13,4/14/2026,previous scrape,Cozy Studio in Great Location!,70857,1.46E+18,Fabian,"16,2","15,3",1,t,Manhattan,40.73808,-73.98001,Private room in rental unit,Private room,2,1.5,1 bath,1,1,301,20,6020,30,180,4/14/2026,1,3/22/2016,3/22/2016,5,5,3,5,5,5,5,1,0,0.01
151199,2.03E+13,4/14/2026,city scrape,Astoria/LIC  Private Home located near train,722320,1.46E+18,Gigi,"14,9","14,9",1,t,Queens,40.7573,-73.91488,Entire home,Entire home/apt,3,1,1 bath,2,2,331,2,662,1,29,4/14/2026,572,9/10/2011,4/7/2026,4.86,4.81,4.77,4.97,4.97,4.88,4.85,0,0,3.22
45542,2.03E+13,4/14/2026,previous scrape,Clean and Cozy Harlem Apartment,202249,1.46E+18,Campbell,"15,7","15,3",1,t,Manhattan,40.82569,-73.93842,Entire rental unit,Entire home/apt,4,1.5,1 bath,2,1,301,20,6020,30,1125,4/14/2026,18,9/11/2018,12/17/2018,4.78,4.83,4.56,5,4.83,4.44,4.67,0,0,0.19
45935,2.03E+13,4/14/2026,previous scrape,Room in Beautiful Townhouse.,204586,1.46E+18,L,"15,7","15,3",1,t,Bronx,40.80635,-73.92201,Private room in rental unit,Private room,1,1.5,1 shared bath,1,1,66.73,30,2001.9,30,40,4/14/2026,0,,,,,,,,,,1,0,1.17
190974,2.03E+13,4/14/2026,previous scrape,Beautiful Grdn. Apt. in Park Slope,874471,1.46E+18,Alan,"14,8","14,7",1,t,Brooklyn,40.66836,-73.98166,Entire rental unit,Entire home/apt,2,1.5,1 bath,1,1,146.03,30,4380.9,30,31,4/14/2026,313,3/29/2012,11/2/2023,4.7,4.84,4.64,4.91,4.91,4.94,4.73,0,0,1.83
206316,2.03E+13,4/14/2026,previous scrape,"Sunny, Spacious Studio in Ft.Greene",1014639,1.46E+18,Brett,"14,7","14,7",1,t,Brooklyn,40.6878,-73.97253,Entire rental unit,Entire home/apt,2,1.5,1 bath,1,1,301,20,6020,30,730,4/14/2026,4,9/17/2017,8/27/2018,4.75,4.75,5,4.75,4.75,5,5,0,0,0.04
206957,2.03E+13,4/14/2026,previous scrape,Bright Modern Charming Housebarge,1018472,1.46E+18,Angus,"14,7","14,7",2,t,Brooklyn,40.5847,-73.94088,Private room in houseboat,Private room,4,1.5,1 private bath,1,1,74.43,30,2232.9,30,365,4/14/2026,125,9/7/2011,7/26/2019,4.61,4.51,4.5,4.86,4.87,4.26,4.7,2,0,0.7
217580,2.03E+13,4/14/2026,previous scrape,Long term fully furnished apartment.,1121193,1.46E+18,Samuel,"14,7","14,7",1,t,Brooklyn,40.61933,-74.03208,Entire condo,Entire home/apt,1,1.5,1 bath,1,1,116.5,30,3495,30,1125,4/14/2026,12,4/12/2012,5/21/2023,4.67,4.67,4.42,4.75,4.92,4.83,4.5,0,0,0.07
228925,2.03E+13,4/14/2026,previous scrape,Beautiful Brownstone,1194377,1.46E+18,Marceline,"14,6","14,6",1,t,Brooklyn,40.68098,-73.94023,Entire home,Entire home/apt,2,1.5,1 bath,1,1,301,20,6020,30,90,4/14/2026,8,10/1/2016,7/29/2021,4.63,4.88,4.63,5,5,4.75,5,0,0,0.07
